period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0001,0301,F000004,N/D - Superficial - EA008,385564,4569143,4268098,EA008_Castellet i la Gornal_Cabal riu Foix
before_2007,0001,0301,F000005,N/D - Superficial - EA009,477269,4651536,4183944,EA009_Sant Gregori_Cabal riu Llemena
before_2007,0001,0301,F000006,N/D - Superficial - EA056,466660,4623237,4290748,EA056_Sant Feliu de Buixalleu_Cabal riera d'Arbucies
before_2007,0001,0301,F000007,N/D - Superficial - EA012,488441,4686953,4140492,EA012_Boadella Emporda_Cabal riu Muga
before_2007,0001,0301,F000008,N/D - Superficial - EA014,326845,4556670,4178796,EA014_Duesaigües_Cabal riera Riudecanyes
before_2007,0001,0301,F000012,N/D - Superficial - EA026,449906,4622487,4290743,EA026_Montseny_Cabal riu Tordera
before_2007,0001,0301,F000014,Conca de l'Aigua d'Ora - EA063,388408,4651438,4369441,EA063_Naves_Cabal riera Aiguadora
before_2007,0001,0301,F000015,N/D - Superficial - EA066a_C4066a,406366,4657951,4369156,EA066a_Avia_Cabal riu Llobregat
before_2007,0001,0301,F000016,Capçalera del Cardener fins a la cua de l'embassament de la Llosa del Cavall - EA087,382793,4670980,4369439,EA087_Coma i Pedra_Cabal riu Cardener
before_2007,0001,0301,F001204,N/D - Superficial - EA006,365794,4587939,4291572,EA006_Querol_Cabal riu Gaia
before_2007,0001,0301,F001213,N/D - Superficial - EA021,384717,4664384,4369409,EA021_Guixers_Aigues Juntes_Cabal riu Cardener
before_2007,0001,0301,F001217,N/D - EA027,452148,4645978,4262185,EA027_Vilanova Sau_Cabal riera Major
before_2007,0001,0301,F001222,N/D - Superficial - EA032,386482,4602653,4369457,EA032_Vilanova del Cami_Cabal riu Anoia
before_2007,0001,0301,F001229,N/D - Superficial - EA040,477746,4668642,4291449,EA040_Serinya_Cabal riu Ser
before_2007,0001,0301,F001230,N/D - Superficial - EA041,322597,4567061,4178795,EA041_Cornudella Montsant_Cabal riu Siurana
before_2007,0001,0301,F001240,Riu Brugent - EA058,347591,4575852,4364910,EA058_La Riba_Cabal riu Brugent
before_2007,0001,0301,F001242,N/D - Superficial - EA060,467132,4648235,4167473,EA060_Cellera Ter_Pasteral_Cabal riu Ter
before_2007,0001,0301,F001243,N/D - Superficial - EA061,483379,4660993,4287920,EA061_Cornella Terri_Cabal riu Terri
before_2007,0001,0301,F001245,Riera de Carme - EA065,388449,4599736,4369449,EA065_Pobla Claramunt_Cabal riera Carme
before_2007,0001,0301,F009793,N/D - Superficial - EA066_C4066,407241,4659812,4168261,EA066_Berga_Cabal riu_Llobregat
before_2007,0001,0301,F025248,N/D - EA085_C4085,441145,4648284,4265225,EA085_C4085_Masies Roda_Cabal total riu Ter
before_2007,0001,0301,F025249,N/D - EA120,441180,4648214,4265222,EA120_Masies Roda_Cabal riu Gurri
before_2007,0001,0301,F026458,N/D - EA124,484777,4638503,4287766,EA124_Riudellots Selva_Cabal riu Onyar
before_2007,0001,0301,F030767,N/D - Superficial - EA047a,432395,4589963,4495045,EA047a_Santa Coloma Gramenet_Cabal riu Besòs
before_2007,0001,0301,L08001-72-00001,N/D - Superficial - EA084_A084,409650,4596023,4369154,EA084_Abrera_Cabal riu Llobregat
before_2007,0001,0301,L08018-72-00003,N/D - Superficial - EA067_C4067,407058,4634787,4261134,EA067_Balsareny_Cabal riu_Llobregat
before_2007,0001,0301,L08047-72-00005,N/D - Superficial - EA001b_C4001b,391877,4641790,4369406,EA001b_Cardona_Cabal riu Cardener
before_2007,0001,0301,L08051-72-00001,N/D - Superficial - EA075,423392,4606810,4368815,EA075_Castellar Valles_Cabal riu Ripoll
before_2007,0001,0301,L08052-72-00002,N/D - Superficial - EA086,415662,4679126,4369171,EA086_Castellar nHug_Cabal riu Llobregat
before_2007,0001,0301,L08053-72-00003,N/D - Superficial - EA023,404933,4611165,4261138,EA023_Castellbell i el Vilar_Cabal riu Llobregat
