period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
after_2007,0001,0001,F007347,Barranc de l'Estany - 003001000,310212,4532916,4356277,índex IMF
after_2007,0001,0001,F007348,Barranc del Torrent del Pi  - 005001000,311552,4533492,4356278,índex IMF
after_2007,0001,0001,F007349,Riu de Llastres i barranc de Santa Marina - 010001000,321471,4546195,3348146,índex IPS
after_2007,0001,0001,F007349,Riu de Llastres i barranc de Santa Marina - 010001000,321471,4546195,4258983,índex IBMWP
after_2007,0001,0001,F007349,Riu de Llastres i barranc de Santa Marina - 010001000,321471,4546195,4356279,índex IMF
after_2007,0001,0001,F007350,Riudecanyes des de la presa de Riudecanyes fins al mar - 020003000,329958,4554197,4356280,índex IMF
after_2007,0001,0001,F007351,Riera d'Alforja i riera de Riudecols - 030001000,331384,4563515,4258982,índex IBMWP
after_2007,0001,0001,F007351,Riera d'Alforja i riera de Riudecols - 030001000,331384,4563515,4356281,índex IMF
after_2007,0001,0001,F007351,Riera d'Alforja i riera de Riudecols - 030001000,331384,4563515,4421166,índex IPS
after_2007,0001,0001,F007352,Riera de Riudoms - 040001000,336201,4562567,3348147,índex IPS
after_2007,0001,0001,F007352,Riera de Riudoms - 040001000,336201,4562567,4258981,índex IBMWP
after_2007,0001,0001,F007352,Riera de Riudoms - 040001000,336201,4562567,4356282,índex IMF
after_2007,0001,0001,F007352,Riera de Riudoms - 040001000,336201,4562567,4357565,índex IBICAT-2010
after_2007,0001,0001,F007353,Riera de Boella i rasa del Mas de Sostres - 045001000,348483,4551785,4258980,índex IBMWP
after_2007,0001,0001,F007353,Riera de Boella i rasa del Mas de Sostres - 045001000,348483,4551785,4343372,índex IPS
after_2007,0001,0001,F007353,Riera de Boella i rasa del Mas de Sostres - 045001000,348483,4551785,4356283,índex IMF
after_2007,0001,0001,F007354,Capçalera del Francolí fins a la confluència amb el riu Sec - 050001000,336212,4584370,4258979,índex IBMWP
after_2007,0001,0001,F007354,Capçalera del Francolí fins a la confluència amb el riu Sec - 050001000,336212,4584370,4343373,índex IPS
after_2007,0001,0001,F007354,Capçalera del Francolí fins a la confluència amb el riu Sec - 050001000,336212,4584370,4356284,índex IMF
after_2007,0001,0001,F007355,Riu Sec (Francolí) - 050002000,339532,4583652,4356285,índex IMF
after_2007,0001,0001,F007356,El Francolí entre el riu Sec i el riu d'Anguera - 050003000,342725,4584018,4258977,índex IBMWP
after_2007,0001,0001,F007356,El Francolí entre el riu Sec i el riu d'Anguera - 050003000,342725,4584018,4294804,índex IBICAT-2010
after_2007,0001,0001,F007356,El Francolí entre el riu Sec i el riu d'Anguera - 050003000,342725,4584018,4343374,índex IPS
after_2007,0001,0001,F007356,El Francolí entre el riu Sec i el riu d'Anguera - 050003000,342725,4584018,4356286,índex IMF
after_2007,0001,0001,F007357,Conca del riu d'Anguera - 050004000,347483,4582290,4258976,índex IBMWP
after_2007,0001,0001,F007357,Conca del riu d'Anguera - 050004000,347483,4582290,4294797,índex IBICAT-2010
after_2007,0001,0001,F007357,Conca del riu d'Anguera - 050004000,347483,4582290,4343375,índex IPS
after_2007,0001,0001,F007357,Conca del riu d'Anguera - 050004000,347483,4582290,4356287,índex IMF
after_2007,0001,0001,F007358,El Francolí entre el riu d'Anguera i el Brugent - 050005000,347596,4577394,4258975,índex IBMWP
after_2007,0001,0001,F007358,El Francolí entre el riu d'Anguera i el Brugent - 050005000,347596,4577394,4294803,índex IBICAT-2010
after_2007,0001,0001,F007358,El Francolí entre el riu d'Anguera i el Brugent - 050005000,347596,4577394,4343376,índex IPS
after_2007,0001,0001,F007358,El Francolí entre el riu d'Anguera i el Brugent - 050005000,347596,4577394,4356288,índex IMF
after_2007,0001,0001,F007359,Riu Brugent - 050006000,343305,4574382,4258974,índex IBMWP
after_2007,0001,0001,F007359,Riu Brugent - 050006000,343305,4574382,4294870,índex IBICAT-2010
after_2007,0001,0001,F007359,Riu Brugent - 050006000,343305,4574382,4343377,índex IPS
after_2007,0001,0001,F007359,Riu Brugent - 050006000,343305,4574382,4356289,índex IMF
after_2007,0001,0001,F007360,El Francolí entre el Brugent i el torrent del Puig - 050007000,351085,4569649,3348148,índex IPS
after_2007,0001,0001,F007360,El Francolí entre el Brugent i el torrent del Puig - 050007000,351085,4569649,4258973,índex IBMWP
after_2007,0001,0001,F007360,El Francolí entre el Brugent i el torrent del Puig - 050007000,351085,4569649,4294802,índex IBICAT-2010
after_2007,0001,0001,F007360,El Francolí entre el Brugent i el torrent del Puig - 050007000,351085,4569649,4356290,índex IMF
after_2007,0001,0001,F007361,Torrent del Puig - 050008000,351138,4569581,3348149,índex IPS
after_2007,0001,0001,F007361,Torrent del Puig - 050008000,351138,4569581,4258972,índex IBMWP
after_2007,0001,0001,F007361,Torrent del Puig - 050008000,351138,4569581,4294888,índex IBICAT-2010
after_2007,0001,0001,F007361,Torrent del Puig - 050008000,351138,4569581,4356291,índex IMF
after_2007,0001,0001,F007362,El Francolí entre el torrent del Puig i la riera de la Selva - 050009000,351833,4563715,3348150,índex IPS
after_2007,0001,0001,F007362,El Francolí entre el torrent del Puig i la riera de la Selva - 050009000,351833,4563715,4258971,índex IBMWP
after_2007,0001,0001,F007362,El Francolí entre el torrent del Puig i la riera de la Selva - 050009000,351833,4563715,4294805,índex IBICAT-2010
after_2007,0001,0001,F007362,El Francolí entre el torrent del Puig i la riera de la Selva - 050009000,351833,4563715,4356292,índex IMF
after_2007,0001,0001,F007363,Torrent de Vallmoll - 050010000,352778,4566207,3348151,índex IPS
after_2007,0001,0001,F007363,Torrent de Vallmoll - 050010000,352778,4566207,4258970,índex IBMWP
after_2007,0001,0001,F007363,Torrent de Vallmoll - 050010000,352778,4566207,4356293,índex IMF
after_2007,0001,0001,F007363,Torrent de Vallmoll - 050010000,352778,4566207,4357569,índex IBICAT-2010
after_2007,0001,0001,F007364,Capçalera de la Glorieta fins a l'EDAR d'Alcover - 050011000,345969,4569372,3348152,índex IPS
after_2007,0001,0001,F007364,Capçalera de la Glorieta fins a l'EDAR d'Alcover - 050011000,345969,4569372,4258969,índex IBMWP
after_2007,0001,0001,F007364,Capçalera de la Glorieta fins a l'EDAR d'Alcover - 050011000,345969,4569372,4294765,índex IBICAT-2010
after_2007,0001,0001,F007364,Capçalera de la Glorieta fins a l'EDAR d'Alcover - 050011000,345969,4569372,4356294,índex IMF
after_2007,0001,0001,F007365,Riu Glorieta des de l'EDAR d'Alcover fins al Francolí - 050012000,350132,4564838,3348153,índex IPS
after_2007,0001,0001,F007365,Riu Glorieta des de l'EDAR d'Alcover fins al Francolí - 050012000,350132,4564838,4258968,índex IBMWP
after_2007,0001,0001,F007365,Riu Glorieta des de l'EDAR d'Alcover fins al Francolí - 050012000,350132,4564838,4356295,índex IMF
after_2007,0001,0001,F007367,El Francolí des de la confluència de la riera de la Selva fins al mar - 050014000,351762,4557528,3348154,índex IPS
after_2007,0001,0001,F007367,El Francolí des de la confluència de la riera de la Selva fins al mar - 050014000,351762,4557528,4258967,índex IBMWP
after_2007,0001,0001,F007367,El Francolí des de la confluència de la riera de la Selva fins al mar - 050014000,351762,4557528,4294801,índex IBICAT-2010
after_2007,0001,0001,F007367,El Francolí des de la confluència de la riera de la Selva fins al mar - 050014000,351762,4557528,4356296,índex IMF
after_2007,0001,0001,F007368,Barranc dels Garidells - 050014500,352827,4562473,3348155,índex IPS
after_2007,0001,0001,F007368,Barranc dels Garidells - 050014500,352827,4562473,4258966,índex IBMWP
after_2007,0001,0001,F007368,Barranc dels Garidells - 050014500,352827,4562473,4356297,índex IMF
after_2007,0001,0001,F007369,"Capçalera del Gaià fins a Pontils, inclòs el riu de Boix - 060001000",365596,4592912,4258965,índex IBMWP
after_2007,0001,0001,F007369,"Capçalera del Gaià fins a Pontils, inclòs el riu de Boix - 060001000",365596,4592912,4294783,índex IBICAT-2010
after_2007,0001,0001,F007369,"Capçalera del Gaià fins a Pontils, inclòs el riu de Boix - 060001000",365596,4592912,4343378,índex IPS
after_2007,0001,0001,F007369,"Capçalera del Gaià fins a Pontils, inclòs el riu de Boix - 060001000",365596,4592912,4356298,índex IMF
after_2007,0001,0001,F007370,El Gaià des de Pontils a la cua de  l'embassament del Catllar - 060002000,362265,4569517,3348156,índex IPS
after_2007,0001,0001,F007370,El Gaià des de Pontils a la cua de  l'embassament del Catllar - 060002000,362265,4569517,4258964,índex IBMWP
after_2007,0001,0001,F007370,El Gaià des de Pontils a la cua de  l'embassament del Catllar - 060002000,362265,4569517,4294806,índex IBICAT-2010
after_2007,0001,0001,F007370,El Gaià des de Pontils a la cua de  l'embassament del Catllar - 060002000,362265,4569517,4356299,índex IMF
after_2007,0001,0001,F007371,Torrent de Rupit - 060003000,360158,4584928,3348157,índex IPS
after_2007,0001,0001,F007371,Torrent de Rupit - 060003000,360158,4584928,4258963,índex IBMWP
after_2007,0001,0001,F007371,Torrent de Rupit - 060003000,360158,4584928,4356300,índex IMF
after_2007,0001,0001,F007371,Torrent de Rupit - 060003000,360158,4584928,4357573,índex IBICAT-2010
after_2007,0001,0001,F007372,Torrent de Rubió - 060004000,362916,4577718,4258962,índex IBMWP
after_2007,0001,0001,F007372,Torrent de Rubió - 060004000,362916,4577718,4343379,índex IPS
after_2007,0001,0001,F007372,Torrent de Rubió - 060004000,362916,4577718,4356301,índex IMF
after_2007,0001,0001,F007373,Torrent de les Pinetelles (o barranc de Pedrafita) - 060005000,364707,4573514,4258961,índex IBMWP
after_2007,0001,0001,F007373,Torrent de les Pinetelles (o barranc de Pedrafita) - 060005000,364707,4573514,4343380,índex IPS
after_2007,0001,0001,F007373,Torrent de les Pinetelles (o barranc de Pedrafita) - 060005000,364707,4573514,4356302,índex IMF
after_2007,0001,0001,F007374,Torrent del Còdol - 060005500,364606,4570711,4356303,índex IMF
after_2007,0001,0001,F007375,El Gaià des de la presa del Catllar fins al mar - 060007000,361850,4558555,4258960,índex IBMWP
after_2007,0001,0001,F007375,El Gaià des de la presa del Catllar fins al mar - 060007000,361850,4558555,4343381,índex IPS
after_2007,0001,0001,F007375,El Gaià des de la presa del Catllar fins al mar - 060007000,361850,4558555,4356304,índex IMF
after_2007,0001,0001,F007376,Barranc de Salomó - 060007500,362457,4561808,4356305,índex IMF
after_2007,0001,0001,F007377,Conca de la riera de la Bisbal - 070001000,380411,4571470,4258959,índex IBMWP
after_2007,0001,0001,F007377,Conca de la riera de la Bisbal - 070001000,380411,4571470,4343382,índex IPS
after_2007,0001,0001,F007377,Conca de la riera de la Bisbal - 070001000,380411,4571470,4356306,índex IMF
after_2007,0001,0001,F007378,Capçalera del Foix fins a Sant Martí Sarroca - 080001000,384217,4583397,3348158,índex IPS
after_2007,0001,0001,F007378,Capçalera del Foix fins a Sant Martí Sarroca - 080001000,384217,4583397,4258958,índex IBMWP
after_2007,0001,0001,F007378,Capçalera del Foix fins a Sant Martí Sarroca - 080001000,384217,4583397,4356307,índex IMF
after_2007,0001,0001,F007379,El Foix i la riera de Pontons des de Sant Martí Sarroca fins a la conlfuència de la riera de Llitrà - 080002000,388035,4577998,3348159,índex IPS
after_2007,0001,0001,F007379,El Foix i la riera de Pontons des de Sant Martí Sarroca fins a la conlfuència de la riera de Llitrà - 080002000,388035,4577998,4258957,índex IBMWP
after_2007,0001,0001,F007379,El Foix i la riera de Pontons des de Sant Martí Sarroca fins a la conlfuència de la riera de Llitrà - 080002000,388035,4577998,4294800,índex IBICAT-2010
after_2007,0001,0001,F007379,El Foix i la riera de Pontons des de Sant Martí Sarroca fins a la conlfuència de la riera de Llitrà - 080002000,388035,4577998,4356308,índex IMF
after_2007,0001,0001,F007380,Capçalera de la riera de Pontons fins a Sant Martí Sarroca - 080003000,376901,4585725,3348160,índex IPS
after_2007,0001,0001,F007380,Capçalera de la riera de Pontons fins a Sant Martí Sarroca - 080003000,376901,4585725,4258956,índex IBMWP
after_2007,0001,0001,F007380,Capçalera de la riera de Pontons fins a Sant Martí Sarroca - 080003000,376901,4585725,4294774,índex IBICAT-2010
after_2007,0001,0001,F007380,Capçalera de la riera de Pontons fins a Sant Martí Sarroca - 080003000,376901,4585725,4356309,índex IMF
after_2007,0001,0001,F007381,Capçalera de la riera de Llitrà fins a l'EDAR de Vilafranca - 080004000,389422,4578327,3348161,índex IPS
after_2007,0001,0001,F007381,Capçalera de la riera de Llitrà fins a l'EDAR de Vilafranca - 080004000,389422,4578327,4258955,índex IBMWP
after_2007,0001,0001,F007381,Capçalera de la riera de Llitrà fins a l'EDAR de Vilafranca - 080004000,389422,4578327,4356310,índex IMF
after_2007,0001,0001,F007382,"El Foix des de la confluència de la riera de Llitrà fins a la cua de l'embassament de Foix, inclòs el tram baix de la riera de Llitrà des de l'EDAR de Vilafranca - 080005000",385967,4570563,3348162,índex IPS
after_2007,0001,0001,F007382,"El Foix des de la confluència de la riera de Llitrà fins a la cua de l'embassament de Foix, inclòs el tram baix de la riera de Llitrà des de l'EDAR de Vilafranca - 080005000",385967,4570563,4258954,índex IBMWP
after_2007,0001,0001,F007382,"El Foix des de la confluència de la riera de Llitrà fins a la cua de l'embassament de Foix, inclòs el tram baix de la riera de Llitrà des de l'EDAR de Vilafranca - 080005000",385967,4570563,4294799,índex IBICAT-2010
after_2007,0001,0001,F007382,"El Foix des de la confluència de la riera de Llitrà fins a la cua de l'embassament de Foix, inclòs el tram baix de la riera de Llitrà des de l'EDAR de Vilafranca - 080005000",385967,4570563,4356311,índex IMF
after_2007,0001,0001,F007383,Riera de Marmellar - 080006000,384949,4569847,4258953,índex IBMWP
after_2007,0001,0001,F007383,Riera de Marmellar - 080006000,384949,4569847,4343383,índex IPS
after_2007,0001,0001,F007383,Riera de Marmellar - 080006000,384949,4569847,4356312,índex IMF
after_2007,0001,0001,F007383,Riera de Marmellar - 080006000,384949,4569847,4357582,índex IBICAT-2010
after_2007,0001,0001,F007384,El Foix des de la presa de Foix fins al mar - 080008000,387994,4565815,4258952,índex IBMWP
after_2007,0001,0001,F007384,El Foix des de la presa de Foix fins al mar - 080008000,387994,4565815,4343384,índex IPS
after_2007,0001,0001,F007384,El Foix des de la presa de Foix fins al mar - 080008000,387994,4565815,4356313,índex IMF
after_2007,0001,0001,F007384,El Foix des de la presa de Foix fins al mar - 080008000,387994,4565815,4357583,índex IBICAT-2010
after_2007,0001,0001,F007385,"Capçalera de la riera de Ribes (o riera de Begues) fins a la confluència de la riera de Vilafranca, incloses les rieres dels Vidrers, de Vilafranca i de Jafre - 090001000",399683,4573861,4258951,índex IBMWP
after_2007,0001,0001,F007385,"Capçalera de la riera de Ribes (o riera de Begues) fins a la confluència de la riera de Vilafranca, incloses les rieres dels Vidrers, de Vilafranca i de Jafre - 090001000",399683,4573861,4343385,índex IPS
after_2007,0001,0001,F007385,"Capçalera de la riera de Ribes (o riera de Begues) fins a la confluència de la riera de Vilafranca, incloses les rieres dels Vidrers, de Vilafranca i de Jafre - 090001000",399683,4573861,4356314,índex IMF
after_2007,0001,0001,F007386,Riera de Ribes (o riera de Begues) des de la confluència de la riera de Vilafranca fins al mar - 090002000,396585,4568258,4342795,índex IBMWP
after_2007,0001,0001,F007386,Riera de Ribes (o riera de Begues) des de la confluència de la riera de Vilafranca fins al mar - 090002000,396585,4568258,4343386,índex IPS
after_2007,0001,0001,F007386,Riera de Ribes (o riera de Begues) des de la confluència de la riera de Vilafranca fins al mar - 090002000,396585,4568258,4356315,índex IMF
after_2007,0001,0001,F007387,Riera de Sant Climent - 095001000,419777,4572020,4356316,índex IMF
after_2007,0001,0001,F007388,Capçaleres del Llobregat i l'Arija fins a la confluència entre tots dos  - 100001000,415484,4678967,3348163,índex IPS
after_2007,0001,0001,F007388,Capçaleres del Llobregat i l'Arija fins a la confluència entre tots dos  - 100001000,415484,4678967,4258950,índex IBMWP
after_2007,0001,0001,F007388,Capçaleres del Llobregat i l'Arija fins a la confluència entre tots dos  - 100001000,415484,4678967,4294787,índex IBICAT-2010
after_2007,0001,0001,F007388,Capçaleres del Llobregat i l'Arija fins a la confluència entre tots dos  - 100001000,415484,4678967,4356317,índex IMF
after_2007,0001,0001,F007389,El Llobregat entre l'Arija i el Bastareny - 100002000,408727,4676390,3348164,índex IPS
after_2007,0001,0001,F007389,El Llobregat entre l'Arija i el Bastareny - 100002000,408727,4676390,4258949,índex IBMWP
after_2007,0001,0001,F007389,El Llobregat entre l'Arija i el Bastareny - 100002000,408727,4676390,4294818,índex IBICAT-2010
after_2007,0001,0001,F007389,El Llobregat entre l'Arija i el Bastareny - 100002000,408727,4676390,4356318,índex IMF
after_2007,0001,0001,F007390,Riu Bastareny i riu de Gréixer - 100004000,405280,4680163,3348165,índex IPS
after_2007,0001,0001,F007390,Riu Bastareny i riu de Gréixer - 100004000,405280,4680163,4258948,índex IBMWP
after_2007,0001,0001,F007390,Riu Bastareny i riu de Gréixer - 100004000,405280,4680163,4294869,índex IBICAT-2010
after_2007,0001,0001,F007390,Riu Bastareny i riu de Gréixer - 100004000,405280,4680163,4356319,índex IMF
after_2007,0001,0001,F007391,El Llobregat des de la confluència del Bastareny fins a la cua de l'embassament de La Baells - 100005000,406731,4674365,4258947,índex IBMWP
after_2007,0001,0001,F007391,El Llobregat des de la confluència del Bastareny fins a la cua de l'embassament de La Baells - 100005000,406731,4674365,4294809,índex IBICAT-2010
after_2007,0001,0001,F007391,El Llobregat des de la confluència del Bastareny fins a la cua de l'embassament de La Baells - 100005000,406731,4674365,4343387,índex IPS
after_2007,0001,0001,F007391,El Llobregat des de la confluència del Bastareny fins a la cua de l'embassament de La Baells - 100005000,406731,4674365,4356320,índex IMF
after_2007,0001,0001,F007392,Riu de Saldes - 100006000,406469,4674394,3348166,índex IPS
after_2007,0001,0001,F007392,Riu de Saldes - 100006000,406469,4674394,4258946,índex IBMWP
after_2007,0001,0001,F007392,Riu de Saldes - 100006000,406469,4674394,4294878,índex IBICAT-2010
after_2007,0001,0001,F007392,Riu de Saldes - 100006000,406469,4674394,4356321,índex IMF
after_2007,0001,0001,F007393,Riu de Peguera - 100008000,405487,4666801,3348167,índex IPS
after_2007,0001,0001,F007393,Riu de Peguera - 100008000,405487,4666801,4258945,índex IBMWP
after_2007,0001,0001,F007393,Riu de Peguera - 100008000,405487,4666801,4294877,índex IBICAT-2010
after_2007,0001,0001,F007393,Riu de Peguera - 100008000,405487,4666801,4356322,índex IMF
after_2007,0001,0001,F007394,Riu Merdançol i riera de Vilada - 100009000,412515,4664689,3348168,índex IPS
after_2007,0001,0001,F007394,Riu Merdançol i riera de Vilada - 100009000,412515,4664689,4258944,índex IBMWP
after_2007,0001,0001,F007394,Riu Merdançol i riera de Vilada - 100009000,412515,4664689,4294881,índex IBICAT-2010
after_2007,0001,0001,F007394,Riu Merdançol i riera de Vilada - 100009000,412515,4664689,4356323,índex IMF
after_2007,0001,0001,F007395,El Llobregat des de la presa de La Baells fins a la Colònia Rosal - 100011000,407469,4662114,4258943,índex IBMWP
after_2007,0001,0001,F007395,El Llobregat des de la presa de La Baells fins a la Colònia Rosal - 100011000,407469,4662114,4294811,índex IBICAT-2010
after_2007,0001,0001,F007395,El Llobregat des de la presa de La Baells fins a la Colònia Rosal - 100011000,407469,4662114,4343388,índex IPS
after_2007,0001,0001,F007395,El Llobregat des de la presa de La Baells fins a la Colònia Rosal - 100011000,407469,4662114,4356324,índex IMF
after_2007,0001,0001,F007396,Riu Demetge - 100012000,403873,4662638,3348169,índex IPS
after_2007,0001,0001,F007396,Riu Demetge - 100012000,403873,4662638,4258942,índex IBMWP
after_2007,0001,0001,F007396,Riu Demetge - 100012000,403873,4662638,4356325,índex IMF
after_2007,0001,0001,F007397,El Llobregat des de la Colònia Rosal fins a l'EDAR de Balsareny - 100013000,407500,4641747,3348170,índex IPS
after_2007,0001,0001,F007397,El Llobregat des de la Colònia Rosal fins a l'EDAR de Balsareny - 100013000,407500,4641747,4258941,índex IBMWP
after_2007,0001,0001,F007397,El Llobregat des de la Colònia Rosal fins a l'EDAR de Balsareny - 100013000,407500,4641747,4294807,índex IBICAT-2010
after_2007,0001,0001,F007397,El Llobregat des de la Colònia Rosal fins a l'EDAR de Balsareny - 100013000,407500,4641747,4356326,índex IMF
after_2007,0001,0001,F007398,Riera de la Portella - 100014000,408409,4657854,4258940,índex IBMWP
after_2007,0001,0001,F007398,Riera de la Portella - 100014000,408409,4657854,4294844,índex IBICAT-2010
after_2007,0001,0001,F007398,Riera de la Portella - 100014000,408409,4657854,4343389,índex IPS
after_2007,0001,0001,F007398,Riera de la Portella - 100014000,408409,4657854,4356327,índex IMF
after_2007,0001,0001,F007399,Riera de Graugés - 100016000,404022,4657011,4258939,índex IBMWP
after_2007,0001,0001,F007399,Riera de Graugés - 100016000,404022,4657011,4294839,índex IBICAT-2010
after_2007,0001,0001,F007399,Riera de Graugés - 100016000,404022,4657011,4343390,índex IPS
