period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0005,0011,F000115,Vall baixa i Delta del Llobregat - 08019-0142,427188.94,4576386.17,F000115NPM,Nivell piezomètric
before_2007,0005,0011,F000116,Vall baixa i Delta del Llobregat - 08019-0143,427182.84,4576383.67,F000116NPM,Nivell piezomètric
before_2007,0005,0011,F000119,Vall baixa i Delta del Llobregat - 08019-0141,428492,4577686,F000119NPM,Nivell piezomètric
before_2007,0005,0011,F000120,Vall baixa i Delta del Llobregat - 08019-0152,428298,4577097,F000120NPM,Nivell piezomètric
before_2007,0005,0011,F000121,Vall baixa i Delta del Llobregat - 08019-0146,428842,4575589,F000121NPM,Nivell piezomètric
before_2007,0005,0011,F000122,Vall baixa i Delta del Llobregat - 08019-0147,428842,4575587,F000122NPM,Nivell piezomètric
before_2007,0005,0011,F000123,Vall baixa i Delta del Llobregat - 08019-0154,427864,4576055,F000123NPM,Nivell piezomètric
before_2007,0005,0011,F000125,Vall baixa i Delta del Llobregat - 08019-0149,429570,4577007,F000125NPM,Nivell piezomètric
before_2007,0005,0011,F000126,Vall baixa i Delta del Llobregat - 08019-0150,429573,4577006,F000126NPM,Nivell piezomètric
before_2007,0005,0011,F000128,Vall baixa i Delta del Llobregat - 08101-0035,424402,4577469,F000128NPM,Nivell piezomètric
before_2007,0005,0011,F000132,Vall baixa i Delta del Llobregat - 08019-0144,427187,4576385,F000132NPM,08019-0144_C7'C_Barcelona_Nivell piezometric_Manual
before_2007,0005,0011,F000133,Vall baixa i Delta del Llobregat - 08019-0145,427179,4576383,F000133NPA,Nivell piezomètric (F000133NPA)
before_2007,0005,0011,F000133,Vall baixa i Delta del Llobregat - 08019-0145,427179,4576383,F000133NPM,Nivell piezomètric (F000133NPM)
before_2007,0005,0011,F000136,Vall baixa i Delta del Llobregat - 08019-0148,428842,4575590,F000136NPA,Nivell piezomètric (F000136NPA)
before_2007,0005,0011,F000136,Vall baixa i Delta del Llobregat - 08019-0148,428842,4575590,F000136NPM,Nivell piezomètric (F000136NPM)
before_2007,0005,0011,F000138,Vall baixa i Delta del Llobregat - 08019-0155,427864,4576056,F000138NPM,Nivell piezomètric
before_2007,0005,0011,F000139,Vall baixa i Delta del Llobregat - 08019-0151,429576,4577005,F000139NPM,Nivell piezomètric
before_2007,0005,0011,F000141,Vall baixa i Delta del Llobregat - 08056-0017,413435.06,4568765.96,F000141NPM,Nivell piezomètric
before_2007,0005,0011,F000144,Vall baixa i Delta del Llobregat - 08089-0050,419783.77,4569193.71,F000144NPM,Nivell piezomètric
before_2007,0005,0011,F000146,Vall baixa i Delta del Llobregat - 08089-0047,417110,4568710,F000146NPM,Nivell piezomètric
before_2007,0005,0011,F000148,Vall baixa i Delta del Llobregat - 08089-0051,417895,4570260,F000148NPM,Nivell piezomètric
before_2007,0005,0011,F000151,Vall baixa i Delta del Llobregat - 08089-0053,416321,4571430,F000151NPM,Nivell piezomètric
before_2007,0005,0011,F000152,Vall baixa i Delta del Llobregat - 08056-0020,415310.78,4570972.75,F000152NPM,Nivell piezomètric
before_2007,0005,0011,F000153,Vall baixa i Delta del Llobregat - 08056-0021,415306.78,4570977.75,F000153NPM,Nivell piezomètric
before_2007,0005,0011,F000155,Vall baixa i Delta del Llobregat - 08056-0019,414387,4569707,F000155NPM,Nivell piezomètric
before_2007,0005,0011,F000160,Vall baixa i Delta del Llobregat - 08089-0049,419783.77,4569194.71,F000160NPM,Nivell piezomètric
before_2007,0005,0011,F000161,Vall baixa i Delta del Llobregat - 08200-0048,421036,4575096,F000161NPM,Nivell piezomètric
before_2007,0005,0011,F000162,Vall baixa i Delta del Llobregat - 08200-0049,421035,4575100,F000162NPM,Nivell piezomètric
before_2007,0005,0011,F000166,Vall baixa i Delta del Llobregat - 08089-0048,417087,4568711,F000166NPM,Nivell piezomètric
before_2007,0005,0011,F000168,Vall baixa i Delta del Llobregat - 08089-0052,417894.78,4570252.73,F000168NPM,Nivell piezomètric
before_2007,0005,0011,F000173,Vall baixa i Delta del Llobregat - 08089-0054,416318,4571434,F000173NPM,Nivell piezomètric
before_2007,0005,0011,F000174,Vall baixa i Delta del Llobregat - 08089-0055,416315,4571438,F000174NPM,Nivell piezomètric
before_2007,0005,0011,F000175,Vall baixa i Delta del Llobregat - 08056-0022,415310.78,4570967.75,F000175NPM,Nivell piezomètric
before_2007,0005,0011,F000176,Vall baixa i Delta del Llobregat - 08056-0023,415304.78,4570975.75,F000176NPM,Nivell piezomètric
before_2007,0005,0011,F000177,Carme-Capellades - 08048-0009,385700.78,4598384.19,F000177NPM,08048-0009_Carme_Cementiri_Nivell piezometric_Manual
before_2007,0005,0011,F000178,Carme-Capellades - 08048-0010,386223.35,4598209.69,F000178NPM,Nivell piezomètric
before_2007,0005,0011,F000179,Carme-Capellades - 08152-0013,383404.44,4598340.78,F000179NPM,Nivell piezomètric
before_2007,0005,0011,F000180,Carme-Capellades - 08044-0015,390198.74,4598093.99,F000180NPM,08044-0015_Capellades_S6 Poliesportiu_Nivell piezometric_Manual
before_2007,0005,0011,F000181,Carme-Capellades - 08286-0026,388188.41,4597763.6,F000181NPM,Nivell piezomètric
before_2007,0005,0011,F000182,Carme-Capellades - 08286-0027,387601.22,4598898.49,F000182NPM,Nivell piezomètric
