period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541505,NPEO(e=0) (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541509,Antracè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541510,Fluorantè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541512,Benzo(b)fluorantè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541513,Benzo(k)fluorantè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541514,Benzo(a)pirè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541515,Benzo(ghi)perilè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541516,"Indeno(1,2,3-cd)pirè (en sediment)"
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541517,Acenaftè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541518,Acenaftilè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541519,Benzo(a)antracè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541520,Crisè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541521,"Dibenzo(a,h)antracè (en sediment)"
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541522,Fenantrè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541523,Fluorè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541524,Pirè (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541525,Suma de PAH1 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541526,Suma de PAH2 (en sediments)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541528,BDE-47 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541529,BDE-99 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541530,BDE-100 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541531,BDE-153 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541532,BDE-154 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541535,BDE-209 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541536,Suma de BDE (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541540,PCB-28 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541541,PCB-52 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541542,PCB-101 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541543,PCB-118 (en sediment)
before_2007,0004,0009,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024,4541544,PCB-138 (en sediment)
